Owner,Name,Stars,IdadeMeses,PRsMes,ReleasesMes,DiasDesdeAtualizacao,LinguagemPrincipal,TotalIssues,ClosedIssues,PercentualIssuesFechadas
codeestX,GeekNews,3509,109,0.04,0.00,26,Java,138,90,65.22
baoyongzhang,SwipeMenuListView,3507,133,0.08,0.02,41,Java,157,29,18.47
1024-lab,smart-admin,3500,70,0.04,0.31,0,Java,36,33,91.67
lenve,JavaEETest,3497,105,0.00,0.00,1,Java,16,9,56.25
cSploit,android,3495,131,0.59,0.25,0,Java,1003,620,61.81
KingJA,LoadSir,3492,96,0.16,0.06,27,Java,153,133,86.93
TNG,ArchUnit,3485,101,5.70,0.43,0,Java,600,462,77.00
AxonFramework,AxonFramework,3483,165,11.85,0.82,0,Java,1404,1209,86.11
dromara,liteflow,3482,66,0.02,0.00,1,Java,70,24,34.29
ittianyu,BottomNavigationViewEx,3477,106,0.08,0.18,2,Java,198,145,73.23
phodal,migration,3464,68,0.10,0.00,2,Java,3,3,100.00
ferredoxin,QNotified,3462,78,8.72,0.36,0,Java,584,496,84.93
rubensousa,PreviewSeekBar,3462,104,0.10,0.10,5,Java,46,36,78.26
Grt1228,chatgpt-java,3460,31,1.45,0.32,0,Java,234,169,72.22
eclipse-openj9,openj9,3459,97,126.95,0.55,0,Java,9028,6401,70.90
alamkanak,Android-Week-View,3448,132,0.27,0.03,3,Java,490,308,62.86
Netflix,concurrency-limits,3447,93,1.43,1.10,0,Java,58,19,32.76
crossoverJie,SSM,3441,111,0.08,0.09,11,Java,33,28,84.85
guolindev,giffun,3433,80,0.00,0.00,56,Java,69,42,60.87
apache,fory,3433,29,48.28,1.62,0,Java,1045,865,82.78
sherxon,AlgoDS,3431,105,0.26,0.00,4,Java,13,8,61.54
RikkaApps,Sui,3431,56,0.05,0.38,0,Java,103,54,52.43
rom1v,sndcpy,3431,63,0.00,0.03,0,Java,271,99,36.53
xcc3641,SeeWeather,3427,115,0.03,0.02,25,Java,0,0,0.00
WinterChenS,my-site,3423,88,0.25,0.00,1,Java,63,58,92.06
freeplane,freeplane,3421,156,0.79,0.06,0,Java,1315,919,69.89
GitLqr,LQRWeChat,3421,103,0.00,0.00,16,Java,0,0,0.00
woxingxiao,BubbleSeekBar,3419,106,0.04,0.11,1,Java,202,146,72.28
google,volley,3414,104,1.06,0.09,4,Java,298,271,90.94
openhab,openhab1-addons,3413,144,18.42,0.10,1,Java,2791,2554,91.51
apache,incubator-kie-optaplanner,3412,175,14.75,0.03,0,Java,0,0,0.00
getActivity,Toaster,3412,84,0.00,0.43,0,Java,150,149,99.33
yigit,android-priority-jobqueue,3391,135,0.46,0.00,13,Java,393,256,65.14
